,combhubs_glm,Hippocampus_L_glm,Hippocampus_R_glm,diffhubs_glm,TPJ_L_glm,TPJ_R_glm,diffhubs_ns_glm,dmPFC_L_glm,dmPFC_R_glm,lPFC_L_glm,lPFC_R_glm
0,0.4024613241224767,0.46684261127069204,0.2975595354628979,0.2674315284702347,0.6206694171932652,0.09081258410871958,0.5620760641015098,0.25896891092275276,0.7435133198726314,-0.11971674989751317,0.6890163446018196
1,-0.3244165740551556,0.5985668075237146,0.5858297276911456,-0.05414116912353068,0.12432111118480779,-0.14337230927769995,-0.8174462945218423,-1.0035831515126274,-1.1296703180764482,-0.017528856686380583,-0.4396208298821295
2,-0.26024516418124105,-0.16871576955518247,-0.07091223007500837,-0.23985534404345366,-0.8759754604039592,0.07820471413679922,-0.11399651307251758,0.08068195208043422,-0.6438245303529141,-0.5894468653429468,0.7977479897163184
3,-0.9192870177508802,-0.7145627516772596,-0.9808763537671263,0.1089407540333414,0.01090371731269496,0.15795927239366458,-0.8036171749239258,-0.7838447347740916,-1.3636393986337119,-0.748657378359231,0.09825163897092933
4,0.5664193836638246,0.3777449278455245,0.09631367404706473,1.1114134465515242,0.20896893970189434,1.5626356999763393,0.6278472349100942,-0.13033902959721105,0.7294552932793495,-0.5032621190480605,1.3409944319522573
5,-0.969876422752189,-0.8172147511332932,-1.1017631264753018,-0.9874035712265009,-1.2881719107299663,-0.8370194014747685,-0.47900517390646935,-0.9206536246231984,-0.7018221937620804,-0.9644686161527176,0.3486099737461183
6,0.5907479400312358,0.3798822892172638,0.3463085459222206,0.8167959317284833,0.5165717044598197,0.9669080453628152,0.3761089079911262,0.5026660021201217,0.4710239406844674,0.6045520366009131,0.057398081212965024
7,-1.7774586806639863,-0.6313510011847571,-0.20349404797587015,-1.620432097739857,-1.2959645378250264,-1.7826658776972724,-2.014669909233899,-2.724513620814357,-2.2578875534167864,-2.0982511783745403,-1.1082176048285672
8,-0.6718401280484747,-0.8854779273894368,-0.22333032059416263,-0.27089003905791753,-0.1435455737234237,-0.33456227172516445,-0.3580207162673538,-0.38840574171008446,-0.967039023911423,0.16292461475264503,0.5036180364279154
9,-0.48805556172339737,0.006808792815503762,0.24975262668745507,-0.2341177843504578,-0.546672633343087,-0.07784035985414317,-0.5394667449198249,-0.8306986727061783,-0.47564231666467743,-1.0421689040621527,-0.2841187871067264
10,0.1407354895338499,0.47130468030411493,0.7969699945639469,1.186346603947095,1.0352392553862226,1.2619002782275313,0.3362060244370789,0.18261136389667118,-0.1433367245129495,0.3586964852125727,1.2303435594555667
11,0.00324374982870905,0.47841982340038164,0.12361537736094,0.038864216378962965,-0.2193164387729291,0.16795454395490902,0.5735976895282199,0.4671978289874271,-0.1220383848565298,0.4461685215452611,1.8464007765243171
12,-0.4661508188610851,-0.5130841596641618,0.0036326941737834456,-0.883557972373735,-0.20865481433370392,-1.2210095513937507,-0.8095618718526325,-0.8923516010834065,-0.9996251244905417,-0.5716093233382803,-0.5169141474737186
13,0.1823400731366705,0.24277357106008404,0.15144643536520833,-0.05811966448058064,-0.13174882934216317,-0.02130508204978937,0.2259144778771867,0.10784942218643812,-0.04974958093252069,0.1556442854035247,0.7874880105117521
14,-0.32045830751187443,-0.09150920198274022,0.04521405278316286,-0.2999712579471044,-0.5053043178936044,-0.19730472797385434,-0.3380397664256271,-0.9938160048641563,-0.6925715611123081,-0.5733103376761108,0.7684542407613554
15,-0.8602059772625633,-1.3264900861415967,-1.3823169167618579,-0.28467028113278564,0.0758623594882698,-0.46493660144331334,-0.48616855132485076,-0.4777073883016648,-0.7145953236197885,-0.848709690692058,0.009749006940323842
16,-0.4641712447687684,0.07743483116677936,0.021024365259812508,-0.018297927581250237,0.13610042966835081,-0.09549710620605079,-0.7308056863891109,-0.8212741039078474,-1.0117966843340704,-0.6014481743409424,-0.24529424881774373
17,-0.4980777428734212,-0.3528804588055531,-0.4234421943995194,-0.6641657323457472,-0.722365049858956,-0.6350660735891427,-0.23567651253879085,-0.2430402937407574,-0.7348302960567664,0.45846281178788373,0.3697758726835878
18,-1.0539874168820569,0.2866460350451332,0.25908763174930777,-0.40180681237954624,-0.186979545535769,-0.5092204458014349,-1.3737140954928817,-1.4985258812121849,-1.4964201341938421,-0.9528560090794576,-1.2262822026495537
19,-0.9374096966579797,-0.8034344820590346,-0.5589780153604128,-2.2176040886473896,-2.594463690957358,-2.029174287492405,-0.6052115226481772,-1.371423280717984,-0.7493255854930077,-1.1418565583460678,0.3246680993723748
