,combhubs_global,Hippocampus_global,Hippocampus_L_global,Hippocampus_R_global,diffhubs_global,TPJ_L_global,TPJ_R_global,diffhubs_ns_global,dmPFC_L_global,dmPFC_R_global,lPFC_L_global,lPFC_R_global
0,-2.878161739095483,-2.408915545815461,-2.014090812018139,-2.3263478740408408,-0.7192287304399239,-4.0,0.5592369776119073,-1.6849407678719148,-2.878161739095483,-1.7991181068379674,-0.15604189276105007,1.0450496996583891
1,-0.3054807880993974,1.5892675570513932,1.0027116650265495,1.7743819103449583,0.18146831652847706,1.1263911290388007,-0.28453554267162157,-4.0,-2.053748910631823,-2.6520698079021954,-4.0,-1.4325027208258116
2,-1.5381988585840642,1.7279343223884185,4.0,0.5186569320803909,0.986271298702238,-0.2897598052289142,1.3786587286232772,-2.408915545815461,-1.2372345991628273,-1.7743819103449574,-1.5547735945968535,-2.014090812018139
3,-0.606775363514265,0.6998836001973415,0.4179276716694819,0.8064212470182404,2.257129244486225,4.0,1.18504412790781,-4.0,-1.0713768892802131,-4.0,-4.0,-2.0969274291643423
4,2.408915545815461,1.490853355246661,0.7520849066954914,2.197286376641052,0.9230138262549805,1.7506860712521692,0.33185334643681663,1.911035647549118,1.0803193408149558,2.878161739095483,1.3786587286232772,-0.5417365601128168
5,1.7743819103449583,0.565108452006584,0.7995009431327363,0.13071596811986333,2.3263478740408408,0.1865671818365193,2.5121443279304683,1.5220362417358555,2.408915545815461,1.0893490279242768,-1.3165187184182603,1.1455050613926971
6,-1.0625193022708668,4.0,4.0,2.014090812018139,4.0,4.0,2.878161739095483,-4.0,-2.0969274291643423,-4.0,-1.0110343281418164,-2.3263478740408408
7,0.24300696740998223,1.9431337511050681,2.144410620911842,1.3658055625722723,0.5186569320803909,-0.7454495481807891,1.0278933458021426,-1.1076800921478,-1.9431337511050666,-0.33185334643681663,-0.7322762047230995,-0.20189347914185088
8,1.0027116650265495,0.23269274918304503,-0.18656718183651944,0.6128129910166272,0.3477872042786274,1.1076800921478,-0.12566134685507402,0.26890862445370967,0.36917136250308974,0.7520849066954914,-1.6645628612027217,-0.2689086244537098
9,-0.7127507602200429,2.096927429164342,2.197286376641052,1.6645628612027221,4.0,4.0,2.408915545815461,-4.0,-1.5547735945968535,-4.0,0.7257370241008048,-4.0
10,-1.3285393288568095,1.446632067158978,1.4186537061727384,1.0893490279242768,-2.5121443279304616,-1.589267557051392,-2.5121443279304616,-4.0,-1.3285393288568095,-2.053748910631823,-1.3285393288568095,-2.878161739095483
11,1.8521798587690466,1.911035647549118,1.2055267959725176,2.3263478740408408,4.0,1.5381988585840638,4.0,-0.7063025628400874,0.6619550962881617,0.4343972422597811,0.9462913579615758,-4.0
12,-2.6520698079021954,-2.878161739095483,-1.4186537061727378,-4.0,-1.6849407678719148,0.40157069563014824,-2.3263478740408408,-1.7279343223884187,2.6520698079021954,-1.7991181068379674,2.144410620911842,-4.0
13,2.3263478740408408,-0.07024331382191659,-0.9462913579615763,0.7127507602200429,2.408915545815461,1.6257633862332344,2.257129244486225,-1.195222781437427,-0.15604189276105007,-0.26371439822153003,0.166199440170359,-2.5121443279304616
14,-4.0,-4.0,-4.0,-4.0,0.09539636905689176,0.12566134685507416,0.045134628481421316,-4.0,-4.0,-2.6520698079021954,-4.0,-1.0893490279242768
15,-0.05015358346473367,-1.0110343281418164,-1.0110343281418164,-0.8416212335729142,0.4343972422597811,-0.02506890825871106,0.565108452006584,-1.4186537061727378,-0.518656932080391,-2.3263478740408408,-1.205526795972518,1.0027116650265495
16,-2.878161739095483,-2.6520698079021954,-1.75068607125217,-2.878161739095483,-4.0,-2.878161739095483,-4.0,-2.878161739095483,-0.6128129910166272,-1.5547735945968535,0.310737745487592,-4.0
17,-0.13071596811986333,1.6448536269514722,2.0537489106318225,0.9620987539131421,0.7454495481807891,2.197286376641052,-0.3477872042786274,-1.3407550336902165,-1.6448536269514729,0.6682092997257233,-2.1444106209118403,-1.977368428181947
18,1.2590839804270715,0.4288945040742014,0.6871312867954694,0.1712845859315065,1.1650469223056024,1.0110343281418166,0.9077695298680555,2.014090812018139,2.3263478740408408,0.2741101160351471,0.40157069563014824,4.0
19,-4.0,-4.0,-2.5121443279304616,-4.0,0.1763741647808612,2.3263478740408408,-0.7721932141886848,-4.0,-2.197286376641052,-1.490853355246661,-2.6520698079021954,-2.878161739095483
20,-0.518656932080391,4.0,2.878161739095483,4.0,0.1611185885107453,1.2265281200366105,-0.5072206605869458,-1.911035647549118,-0.29499198822262623,-1.205526795972518,-0.33185334643681663,-2.6520698079021954
21,2.197286376641052,1.7743819103449583,0.1509692154967774,4.0,4.0,2.096927429164342,4.0,-1.911035647549118,-1.75068607125217,-1.1076800921478,-1.1455050613926967,-1.3786587286232772
22,-2.6520698079021954,-2.5121443279304616,-2.408915545815461,-2.408915545815461,-0.4454425062917199,-2.878161739095483,0.6128129910166272,-0.3531179719736891,-4.0,1.3165187184182598,-2.6520698079021954,0.8487866859159671
23,0.9153650878428138,-0.08029831289205504,1.1552208466119511,-1.2265281200366098,4.0,4.0,4.0,0.1611185885107453,-4.0,-0.6557266787982536,1.6849407678719155,2.878161739095483
24,-0.5947658468016781,-1.7991181068379674,-0.43439724225978127,-2.878161739095483,-0.870549830195654,0.46211340177637716,-1.5062617232782445,1.0625193022708668,2.257129244486225,0.21213719831752412,1.8807936081512509,-0.18656718183651944
25,-1.0450496996583891,2.257129244486225,1.0984684203398634,2.5121443279304683,2.197286376641052,0.12060993411930707,2.408915545815461,-0.994457883209753,-4.0,-1.4325027208258116,1.5892675570513932,1.5547735945968535
